videoId,title,channel,comment,sentiment
2NcIw1Ow3ss,김문수 후보등록 백브리핑 - 권영세가 사퇴한다 해놓고 사임을 안해~ 너 나가~~,유재일,한동훈대표님께 감사해야합니다,긍정
2NcIw1Ow3ss,김문수 후보등록 백브리핑 - 권영세가 사퇴한다 해놓고 사임을 안해~ 너 나가~~,유재일,새로운 모습을 보았습니다 기적이 일어날거라 봅니다,긍정
2NcIw1Ow3ss,김문수 후보등록 백브리핑 - 권영세가 사퇴한다 해놓고 사임을 안해~ 너 나가~~,유재일,아이구 답답,부정
2NcIw1Ow3ss,김문수 후보등록 백브리핑 - 권영세가 사퇴한다 해놓고 사임을 안해~ 너 나가~~,유재일,뭔 권영세 한테 감사하나요~ 화가나네요~ 한동훈님  이 얼마나 바로잡기위해  애썼는데요~~,부정 (화가 난 감정이 드러나는 내용)
2NcIw1Ow3ss,김문수 후보등록 백브리핑 - 권영세가 사퇴한다 해놓고 사임을 안해~ 너 나가~~,유재일,어떻게 해야 할지 모르는 군 왜 어떻게 할 것인지 말해야지,부정
2NcIw1Ow3ss,김문수 후보등록 백브리핑 - 권영세가 사퇴한다 해놓고 사임을 안해~ 너 나가~~,유재일,"결국 이리될거면서
생난리다진짜~",부정
2NcIw1Ow3ss,김문수 후보등록 백브리핑 - 권영세가 사퇴한다 해놓고 사임을 안해~ 너 나가~~,유재일,동지동지  그말좀 그만빼라,부정
2NcIw1Ow3ss,김문수 후보등록 백브리핑 - 권영세가 사퇴한다 해놓고 사임을 안해~ 너 나가~~,유재일,내귀에는 딱딱 거리는 소리만 들리네요ㅎ,부정
Cx8MeN9iG9E,"김문수, 대선 후보 등록! “기적이 일어났다”… 한덕수 전 총리와 만날 예정",팩트스팟FactSpot,"하룻밤이 불안한 당~
하룻밤이 불안한 나이~~",부정
Cx8MeN9iG9E,"김문수, 대선 후보 등록! “기적이 일어났다”… 한덕수 전 총리와 만날 예정",팩트스팟FactSpot,승리절대못한다,부정 (Negative)
iDBEVaw7mBI,#리셋코리아 #대선후보등록#김문수 대통령 후보,MARS,승리합시다.자유민주주의 체재 수호 못하면 베네주엘라 직행입니다.,부정
n7Ykax92B0I,"#김문수, 선관위 후보등록…""반드시 당선돼 위대한 나라 만들 것""""당원 투표, 놀라운 기적 일어나…한덕수, 잘 모시겠다""지도부 책임론에 ""선거 며칠 안남아 화합해야, 빅텐트 중요",바람소리 : 진거무선,힘내세요,긍정
n7Ykax92B0I,"#김문수, 선관위 후보등록…""반드시 당선돼 위대한 나라 만들 것""""당원 투표, 놀라운 기적 일어나…한덕수, 잘 모시겠다""지도부 책임론에 ""선거 며칠 안남아 화합해야, 빅텐트 중요",바람소리 : 진거무선,"뭐 하나 자연스럽지 않은 등록ᆢ
오물통속 등록ᆢ",부정 (부정적인 감정을 표현하고 있음)
xzv1e7Yr5RY,"국민의힘, 결국 김문수 후보로 대선 후보 등록하기로..권영세 ""모든 책임지고 물러나겠다"" [이슈PLAY] / JTBC News",JTBC News,극짐 내란당이 보수로보임?  제발좀 보수와 골수의 차이를 생각좀해요. 저들은 골수입니다. 자기이익만 생각하는 골수집합소,부정 (부정적인 감정을 표현하고 있음)
xzv1e7Yr5RY,"국민의힘, 결국 김문수 후보로 대선 후보 등록하기로..권영세 ""모든 책임지고 물러나겠다"" [이슈PLAY] / JTBC News",JTBC News,이제 한덕수는 수사 받고 감방행인가???,부정 (Negative)
xzv1e7Yr5RY,"국민의힘, 결국 김문수 후보로 대선 후보 등록하기로..권영세 ""모든 책임지고 물러나겠다"" [이슈PLAY] / JTBC News",JTBC News,JTBC ᆢ백다혜앵커님 감사합니다 ️,긍정
xzv1e7Yr5RY,"국민의힘, 결국 김문수 후보로 대선 후보 등록하기로..권영세 ""모든 책임지고 물러나겠다"" [이슈PLAY] / JTBC News",JTBC News,코메디!!!,긍정
xzv1e7Yr5RY,"국민의힘, 결국 김문수 후보로 대선 후보 등록하기로..권영세 ""모든 책임지고 물러나겠다"" [이슈PLAY] / JTBC News",JTBC News,"문수형 내란 당해보니까 기분이 어때?
그래도 오늘까진 응원했다. 재명이형 뽑아야 하니 잘있어.",부정
xzv1e7Yr5RY,"국민의힘, 결국 김문수 후보로 대선 후보 등록하기로..권영세 ""모든 책임지고 물러나겠다"" [이슈PLAY] / JTBC News",JTBC News,국힘은 당자체가 내란당임을 스스로 공지하는구나!! 해체가 답이다!,부정 (Negative)
xzv1e7Yr5RY,"국민의힘, 결국 김문수 후보로 대선 후보 등록하기로..권영세 ""모든 책임지고 물러나겠다"" [이슈PLAY] / JTBC News",JTBC News,보수궤멸의 일등곤신 권성동은 사퇴하고 정치판을 떠나라,부정 (Negative)
xzv1e7Yr5RY,"국민의힘, 결국 김문수 후보로 대선 후보 등록하기로..권영세 ""모든 책임지고 물러나겠다"" [이슈PLAY] / JTBC News",JTBC News,"국짐 개그쇼 끝나서 요세 볼게없음. 
시즌2 해줘요~~~",긍정 (Positive)
xzv1e7Yr5RY,"국민의힘, 결국 김문수 후보로 대선 후보 등록하기로..권영세 ""모든 책임지고 물러나겠다"" [이슈PLAY] / JTBC News",JTBC News,아나운서 한국사람이내...,긍정
xzv1e7Yr5RY,"국민의힘, 결국 김문수 후보로 대선 후보 등록하기로..권영세 ""모든 책임지고 물러나겠다"" [이슈PLAY] / JTBC News",JTBC News,바퀴들의 대환장파티,긍정 (Positive)
ntsU1FPfo9Q,국민의힘 김문수 대선후보 등록…한덕수 “수용하고 승복” / KBS  2025.05.11.,KBS News,"그렇게 강경하다가 너무나 순순히 물러나는 게 이상함. 법적으로 위법, 등록 무효인듯",부정
ntsU1FPfo9Q,국민의힘 김문수 대선후보 등록…한덕수 “수용하고 승복” / KBS  2025.05.11.,KBS News,"한덕수 벼슬이 그리도 좋더냐
계엄도 못막은 무능함도 모른체 대선 후보에 욕심을 내다니
참 뻔뻔하고도 뻔뻔하구나
저 권성동이가 문제야!",부정 (부정적인 감정을 표현하고 있음)
ntsU1FPfo9Q,국민의힘 김문수 대선후보 등록…한덕수 “수용하고 승복” / KBS  2025.05.11.,KBS News,김문수 지지합니다,긍정
ntsU1FPfo9Q,국민의힘 김문수 대선후보 등록…한덕수 “수용하고 승복” / KBS  2025.05.11.,KBS News,지가 도대체 뭘했다고 겸험히수용을 하겠다는겨ㅋㅋㅋ,부정 (부정적인 감정을 표현하고 있음)
ntsU1FPfo9Q,국민의힘 김문수 대선후보 등록…한덕수 “수용하고 승복” / KBS  2025.05.11.,KBS News,한덕수가개덕수되었네,긍정
ntsU1FPfo9Q,국민의힘 김문수 대선후보 등록…한덕수 “수용하고 승복” / KBS  2025.05.11.,KBS News,아니요. 그냥 대선후보로만 계세요.  여기까지입니다. 덕분에 국짐이 얼마나 비상식적이고 비민주주의인 이기적 집단인지 잘 확인했습니다.,부정
ntsU1FPfo9Q,국민의힘 김문수 대선후보 등록…한덕수 “수용하고 승복” / KBS  2025.05.11.,KBS News,한덕수 후보 정말 신사입니다,긍정
ntsU1FPfo9Q,국민의힘 김문수 대선후보 등록…한덕수 “수용하고 승복” / KBS  2025.05.11.,KBS News,아이고ᆢ나라을위해서ᆢ이재명과ᆢ는김문수는이길수없다 ᆢ이변이없는한ᆢ이이고ᆢ,중립
ntsU1FPfo9Q,국민의힘 김문수 대선후보 등록…한덕수 “수용하고 승복” / KBS  2025.05.11.,KBS News,이재명 정치생명 퇴출,부정
ntsU1FPfo9Q,국민의힘 김문수 대선후보 등록…한덕수 “수용하고 승복” / KBS  2025.05.11.,KBS News,김문수를 도와서 또 호남가서 외쳐라~~저도 호남 사람 입니다~~,긍정
ntsU1FPfo9Q,국민의힘 김문수 대선후보 등록…한덕수 “수용하고 승복” / KBS  2025.05.11.,KBS News,"당 내규에 의해 상당한 이유가 있다고 김문수의 후보직을 박탈 한 거고, 그래서 빈 후보직에 한덕수만을 대상으로 전 당원 찬반 투표를 한 것 아님? 
반대가 많다면 국힘은 다시 합법적 후보 선출 과정을 거쳐야만 한다.",부정적인 감성
ntsU1FPfo9Q,국민의힘 김문수 대선후보 등록…한덕수 “수용하고 승복” / KBS  2025.05.11.,KBS News,우리나라 대통령은 경상도 사람만이 될수 있다,부정
ntsU1FPfo9Q,국민의힘 김문수 대선후보 등록…한덕수 “수용하고 승복” / KBS  2025.05.11.,KBS News,덕수야 그건 수용이 아니라 불가능한거야... 무소속 출마하던가 ㅋㅋㅋ 애초에 선거밥 위반임,부정화
ntsU1FPfo9Q,국민의힘 김문수 대선후보 등록…한덕수 “수용하고 승복” / KBS  2025.05.11.,KBS News,김문수가 대선후보 ㅋㅋㅋㅋㅋㅋ 잘돌아간다 참,긍정
ntsU1FPfo9Q,국민의힘 김문수 대선후보 등록…한덕수 “수용하고 승복” / KBS  2025.05.11.,KBS News,한덕수자격있나,부정
ntsU1FPfo9Q,국민의힘 김문수 대선후보 등록…한덕수 “수용하고 승복” / KBS  2025.05.11.,KBS News,ㅎㅎㅎㅎ 기가찬다 꼰대들,부정 (부정적인 표현이 사용되었음)
ntsU1FPfo9Q,국민의힘 김문수 대선후보 등록…한덕수 “수용하고 승복” / KBS  2025.05.11.,KBS News,한떡수....어떠한 평가나 논할 가치도 없는 사람.....불상하다.,부정
ntsU1FPfo9Q,국민의힘 김문수 대선후보 등록…한덕수 “수용하고 승복” / KBS  2025.05.11.,KBS News,덕수  방먹을  일만남았네,긍정
ntsU1FPfo9Q,국민의힘 김문수 대선후보 등록…한덕수 “수용하고 승복” / KBS  2025.05.11.,KBS News,그냥 쇼였노,부정
ntsU1FPfo9Q,국민의힘 김문수 대선후보 등록…한덕수 “수용하고 승복” / KBS  2025.05.11.,KBS News,쌍권은 탈당해야지,부정
ntsU1FPfo9Q,국민의힘 김문수 대선후보 등록…한덕수 “수용하고 승복” / KBS  2025.05.11.,KBS News,장어 덕수가 일장춘몽을 꿨네..,부정
ntsU1FPfo9Q,국민의힘 김문수 대선후보 등록…한덕수 “수용하고 승복” / KBS  2025.05.11.,KBS News,떡수는 당비 1만원 찾아가길 바란다.,부정
ntsU1FPfo9Q,국민의힘 김문수 대선후보 등록…한덕수 “수용하고 승복” / KBS  2025.05.11.,KBS News,최아영 어디서 점을 본거야  그리고  남편 얼굴보니 안보이디 총리가 마지막이라고 에효,부정
ntsU1FPfo9Q,국민의힘 김문수 대선후보 등록…한덕수 “수용하고 승복” / KBS  2025.05.11.,KBS News,긍께 떡수야 뭘 믿고 뻗덴겨 왜?당원을 팔어?정신 상태가 현 집권당상태가 영 메롱을 넘었스,부정
ntsU1FPfo9Q,국민의힘 김문수 대선후보 등록…한덕수 “수용하고 승복” / KBS  2025.05.11.,KBS News,"김문수 후보에 진통 고생 많으셨습니다 
반드시 대통령 당선 되길 기원합니다",긍정
ntsU1FPfo9Q,국민의힘 김문수 대선후보 등록…한덕수 “수용하고 승복” / KBS  2025.05.11.,KBS News,탄핵정권 2인자..나라 쑥대밭 만들어놓고 염치도없네,부정
ntsU1FPfo9Q,국민의힘 김문수 대선후보 등록…한덕수 “수용하고 승복” / KBS  2025.05.11.,KBS News,하루하루 지지율이 올라갈것입니다,긍정
ntsU1FPfo9Q,국민의힘 김문수 대선후보 등록…한덕수 “수용하고 승복” / KBS  2025.05.11.,KBS News,"떡수야, 이것도 마눌의 예지몽이 필요하지??!!",부정
ntsU1FPfo9Q,국민의힘 김문수 대선후보 등록…한덕수 “수용하고 승복” / KBS  2025.05.11.,KBS News,김문수ᆢ니는안된다ᆢ,부정
ntsU1FPfo9Q,국민의힘 김문수 대선후보 등록…한덕수 “수용하고 승복” / KBS  2025.05.11.,KBS News,오직 김문수 대통령  후보님 화이팅,긍정
ntsU1FPfo9Q,국민의힘 김문수 대선후보 등록…한덕수 “수용하고 승복” / KBS  2025.05.11.,KBS News,법죄자죄명이들꼭이기세요,부정
ntsU1FPfo9Q,국민의힘 김문수 대선후보 등록…한덕수 “수용하고 승복” / KBS  2025.05.11.,KBS News,김문수 화이팅!!!!!!!!,긍정
ntsU1FPfo9Q,국민의힘 김문수 대선후보 등록…한덕수 “수용하고 승복” / KBS  2025.05.11.,KBS News,또 119 전화해서 개소리할까봐 기대된다..,부정
ntsU1FPfo9Q,국민의힘 김문수 대선후보 등록…한덕수 “수용하고 승복” / KBS  2025.05.11.,KBS News,두분께서 큰틀에서 함께하시어 국민의 열망을 이루어주사고 한총리님의 쌍권으로 실추돤 명예 회복되어지길 바랍니다.,긍정 (Positive)
ntsU1FPfo9Q,국민의힘 김문수 대선후보 등록…한덕수 “수용하고 승복” / KBS  2025.05.11.,KBS News,에휴 이재명은 못이긴다,부정
ntsU1FPfo9Q,국민의힘 김문수 대선후보 등록…한덕수 “수용하고 승복” / KBS  2025.05.11.,KBS News,이재명 못 이겨요.  안탑깝다,부정
ntsU1FPfo9Q,국민의힘 김문수 대선후보 등록…한덕수 “수용하고 승복” / KBS  2025.05.11.,KBS News,"겸허히 수용 안하면 어쩔껀데?
지 범죄 감추려고 대선 나온다는 범죄자
한덕수..윤건희의 아바타.
국민이 우습냐?",부정 (부정적)
ntsU1FPfo9Q,국민의힘 김문수 대선후보 등록…한덕수 “수용하고 승복” / KBS  2025.05.11.,KBS News,노친네야 탈당까지 해야지 ㅋㅋㅋㅋㅋㅋ,부정 (부정적인 내용을 담고 있음)
kjxwTr_-YBA,"[속보] 국민의힘 김문수, 선관위 대선 후보 등록…정식 기호 2번 / YTN", YTN,이번 대선은 누가 되야 한다가 아니라 누가 되면 안된다의 싸움이다,부정
kjxwTr_-YBA,"[속보] 국민의힘 김문수, 선관위 대선 후보 등록…정식 기호 2번 / YTN", YTN,자유 우파른,중립
kjxwTr_-YBA,"[속보] 국민의힘 김문수, 선관위 대선 후보 등록…정식 기호 2번 / YTN", YTN,"우,,,김문수 후보님 you did it,끝까지,, 화이팅",긍정
kjxwTr_-YBA,"[속보] 국민의힘 김문수, 선관위 대선 후보 등록…정식 기호 2번 / YTN", YTN,넘겼어야  대선조졌다 대국적으로 보수에 미랠 생각하고 어떻게 됐건간에 힘은 모든게  못난짓만 .. 트랜드도 못따라가고  지지하는 국민들에게 실소만 나오게하는 무식하고 세련되지 못한정치만 하니참 쯧쯧,부정
kjxwTr_-YBA,"[속보] 국민의힘 김문수, 선관위 대선 후보 등록…정식 기호 2번 / YTN", YTN,난 무조건2번 찍는다,중립
kjxwTr_-YBA,"[속보] 국민의힘 김문수, 선관위 대선 후보 등록…정식 기호 2번 / YTN", YTN,문수님축하,긍정
kjxwTr_-YBA,"[속보] 국민의힘 김문수, 선관위 대선 후보 등록…정식 기호 2번 / YTN", YTN,멋지다 김문수~~~,긍정
kjxwTr_-YBA,"[속보] 국민의힘 김문수, 선관위 대선 후보 등록…정식 기호 2번 / YTN", YTN,"당연하지...정식으로 뽑힌 대선 후보가 김문수 후보인데

당원들이 현명하게 판결 내려 준 것이죠",긍정
kjxwTr_-YBA,"[속보] 국민의힘 김문수, 선관위 대선 후보 등록…정식 기호 2번 / YTN", YTN,"저들이 보수정치인으로보여? 골수이익집단으로 밖에 안보여, 저들은 보수가 아니라고 정신들 차려 제발좀",부정
kjxwTr_-YBA,"[속보] 국민의힘 김문수, 선관위 대선 후보 등록…정식 기호 2번 / YTN", YTN,All MY Love - 김문수대통령,긍정
kjxwTr_-YBA,"[속보] 국민의힘 김문수, 선관위 대선 후보 등록…정식 기호 2번 / YTN", YTN,김문수 대통령 응원합니다 먹고사는 경제 대통령이 되길,긍정
kjxwTr_-YBA,"[속보] 국민의힘 김문수, 선관위 대선 후보 등록…정식 기호 2번 / YTN", YTN,난  1번 찍이을거임,긍정
kjxwTr_-YBA,"[속보] 국민의힘 김문수, 선관위 대선 후보 등록…정식 기호 2번 / YTN", YTN,감히 극우가 대통령이 되겠다고? 떨어지는 거야 두말하면 잔소리지만 또 부정선거니 어쩌니 딴소리나 하지 말길,부정
kjxwTr_-YBA,"[속보] 국민의힘 김문수, 선관위 대선 후보 등록…정식 기호 2번 / YTN", YTN,소방서 119 갑질대마왕이 대통령?ㅋㅋㅋㅋㅋ,부정
kjxwTr_-YBA,"[속보] 국민의힘 김문수, 선관위 대선 후보 등록…정식 기호 2번 / YTN", YTN,30년 트로이목마 김문순대 버텨라 ㅋㅋㅋㅋ,부정
kjxwTr_-YBA,"[속보] 국민의힘 김문수, 선관위 대선 후보 등록…정식 기호 2번 / YTN", YTN,불쌍한덕수,부정 (부정적인 표현을 사용하여 댓글이 작성되었기 때문에)
kjxwTr_-YBA,"[속보] 국민의힘 김문수, 선관위 대선 후보 등록…정식 기호 2번 / YTN", YTN,여당 대표가 왜 기호 2번인가요? 기호 1번이죠.,부정
kjxwTr_-YBA,"[속보] 국민의힘 김문수, 선관위 대선 후보 등록…정식 기호 2번 / YTN", YTN,김문수 멋있다!!,긍정
kjxwTr_-YBA,"[속보] 국민의힘 김문수, 선관위 대선 후보 등록…정식 기호 2번 / YTN", YTN,,중립
kjxwTr_-YBA,"[속보] 국민의힘 김문수, 선관위 대선 후보 등록…정식 기호 2번 / YTN", YTN,축하합니다,긍정
kjxwTr_-YBA,"[속보] 국민의힘 김문수, 선관위 대선 후보 등록…정식 기호 2번 / YTN", YTN,김문수 얘가 도지삽니다 아니냐,부정
kjxwTr_-YBA,"[속보] 국민의힘 김문수, 선관위 대선 후보 등록…정식 기호 2번 / YTN", YTN,한덕수 쌤통 이세상에 공짜는 없다 덕수 망신살 대박!!,부정
GjLRjwRmt_M,김문수 후보등록 현장,핫플 힐링로드 Hotple Healing Road,"당연한거아닌가 난 윤석열 국짐당 은 안찍을건데 그래도
정상적인게 바른거안닌가",긍정
GjLRjwRmt_M,김문수 후보등록 현장,핫플 힐링로드 Hotple Healing Road,김문수 승 축하합니다. 상대당 후보 비방보다는 자신들의 정책비젼 공약을 위주로 선거에 임하세요. 정정당당하게,긍정
GjLRjwRmt_M,김문수 후보등록 현장,핫플 힐링로드 Hotple Healing Road,왜 굳이...,부정
GjLRjwRmt_M,김문수 후보등록 현장,핫플 힐링로드 Hotple Healing Road,이런  폭망할  일만남았다,부정
GjLRjwRmt_M,김문수 후보등록 현장,핫플 힐링로드 Hotple Healing Road,나   ! 119   에  도지사  자랑질한  모질이야 ?,부정
GjLRjwRmt_M,김문수 후보등록 현장,핫플 힐링로드 Hotple Healing Road,축하합니다. 이제부터대통령까지 고고,긍정
GjLRjwRmt_M,김문수 후보등록 현장,핫플 힐링로드 Hotple Healing Road,7범의 승리.  . . .ㅋ,부정
GjLRjwRmt_M,김문수 후보등록 현장,핫플 힐링로드 Hotple Healing Road,대통령이 아니라 후보가 되고싶은분 ㅎㅎ.,중립
GjLRjwRmt_M,김문수 후보등록 현장,핫플 힐링로드 Hotple Healing Road,정의는 승리한다,긍정
GjLRjwRmt_M,김문수 후보등록 현장,핫플 힐링로드 Hotple Healing Road,국민모두 김문수대선후보로  민족의 대서사시씁시다,긍정
GjLRjwRmt_M,김문수 후보등록 현장,핫플 힐링로드 Hotple Healing Road,안될거 본인도 알건데 왜 하는지 이해가 안되네,부정
GjLRjwRmt_M,김문수 후보등록 현장,핫플 힐링로드 Hotple Healing Road,대통령당선으로 온힘을 모읍시다,긍정
GjLRjwRmt_M,김문수 후보등록 현장,핫플 힐링로드 Hotple Healing Road,"역시 김문수 온 동네가 축하분위기 입니다
열열히 응원지지합니다
반드시 대통령되십니다",긍정
GjLRjwRmt_M,김문수 후보등록 현장,핫플 힐링로드 Hotple Healing Road,내란당이 쿠데타 실패하고 김문순대로. 후보 확정했네 ㅋㅋ,부정 (Negative)
GjLRjwRmt_M,김문수 후보등록 현장,핫플 힐링로드 Hotple Healing Road,위에 두분포함 18%봅니다,중립 (Neutral)
GjLRjwRmt_M,김문수 후보등록 현장,핫플 힐링로드 Hotple Healing Road,"너무 촌티나는데
밑바닥 노동자출신인가?",부정 (부정적인 감성)
GjLRjwRmt_M,김문수 후보등록 현장,핫플 힐링로드 Hotple Healing Road,김문수대통령,중립
